Country/Region,Province/State,time,temperatureMin,temperatureMax
Albania,,2020-01-09,33.28,54.59
Albania,,2020-01-10,38.4,52.39
Albania,,2020-01-11,39.33,47.25
Albania,,2020-01-12,39.13,58.0
Albania,,2020-01-13,38.04,56.71
Albania,,2020-01-14,37.88,57.21
Albania,,2020-01-15,38.89,60.33
Albania,,2020-01-16,36.23,56.82
Albania,,2020-01-17,36.93,56.22
Albania,,2020-01-18,38.05,53.88
Albania,,2020-01-19,35.61,53.94
Albania,,2020-01-20,32.57,55.48
Albania,,2020-01-21,35.48,54.25
Albania,,2020-01-22,33.61,56.58
Albania,,2020-01-23,36.38,56.85
Albania,,2020-01-24,39.18,55.56
Albania,,2020-01-25,44.16,55.1
Albania,,2020-01-26,44.99,51.59
Albania,,2020-01-27,43.77,52.83
Albania,,2020-01-28,45.99,51.44
Albania,,2020-01-29,38.92,53.07
Albania,,2020-01-30,35.17,55.0
Albania,,2020-01-31,42.9,62.11
Albania,,2020-02-01,40.58,60.29
Albania,,2020-02-02,42.75,60.61
Albania,,2020-02-03,43.98,61.52
Albania,,2020-02-04,33.95,50.47
Albania,,2020-02-05,28.66,42.95
Albania,,2020-02-06,26.44,47.13
Albania,,2020-02-07,30.32,51.16
Albania,,2020-02-08,32.75,52.11
Albania,,2020-02-09,35.93,52.18
Albania,,2020-02-10,45.48,59.38
Albania,,2020-02-11,45.56,58.91
Albania,,2020-02-12,38.66,61.69
Albania,,2020-02-13,42.02,50.29
Albania,,2020-02-14,39.37,59.87
Albania,,2020-02-15,36.87,61.88
Albania,,2020-02-16,39.07,61.43
Albania,,2020-02-17,39.02,61.07
Albania,,2020-02-18,42.49,59.92
Albania,,2020-02-19,37.22,55.16
Albania,,2020-02-20,32.76,56.68
Albania,,2020-02-21,35.32,54.96
Albania,,2020-02-22,34.35,60.08
Albania,,2020-02-23,38.34,65.0
Albania,,2020-02-24,45.4,68.15
Albania,,2020-02-25,43.24,62.85
Albania,,2020-02-26,38.74,47.53
Albania,,2020-02-27,33.7,47.63
Albania,,2020-02-28,30.76,51.18
Albania,,2020-02-29,34.49,57.99
Albania,,2020-03-01,45.17,64.83
Albania,,2020-03-02,48.67,62.78
Albania,,2020-03-03,43.55,50.65
Albania,,2020-03-04,40.69,54.13
Albania,,2020-03-05,39.24,55.6
Albania,,2020-03-06,45.87,51.79
Albania,,2020-03-07,45.24,54.21
Albania,,2020-03-08,43.15,52.31
Albania,,2020-03-09,40.09,56.45
Albania,,2020-03-10,39.17,61.98
Albania,,2020-03-11,43.68,72.92
Albania,,2020-03-12,48.16,72.4
Albania,,2020-03-13,50.06,70.1
Albania,,2020-03-14,43.95,53.8
Albania,,2020-03-15,39.25,57.91
Albania,,2020-03-16,35.31,64.63
Albania,,2020-03-17,40.23,69.78
Albania,,2020-03-18,42.7,66.6
Albania,,2020-03-19,42.15,70.59
Albania,,2020-03-20,45.8,67.41
Albania,,2020-03-21,49.07,66.35
Albania,,2020-03-22,39.07,51.24
Albania,,2020-03-23,34.37,44.26
Albania,,2020-03-24,31.01,53.16
Albania,,2020-03-25,43.42,59.31
Albania,,2020-03-26,45.81,53.39
Albania,,2020-03-27,42.89,57.25
Albania,,2020-03-28,45.82,60.74
Albania,,2020-03-29,44.02,66.3
Albania,,2020-03-30,46.84,62.15
Albania,,2020-03-31,37.03,47.13
Albania,,2020-04-01,33.22,52.99
Albania,,2020-04-02,37.94,58.32
Albania,,2020-04-03,45.98,60.06
Albania,,2020-04-04,49.81,61.57
Albania,,2020-04-05,48.78,63.32
Albania,,2020-04-06,45.32,69.24
Albania,,2020-04-07,45.06,71.42
Albania,,2020-04-08,44.96,74.61
Albania,,2020-04-09,47.1,75.02
Albania,,2020-04-10,50.27,75.39
Albania,,2020-04-11,54.09,73.12
Albania,,2020-04-12,49.51,70.62
Albania,,2020-04-13,48.67,65.39
Albania,,2020-04-14,43.72,62.69
Albania,,2020-04-15,39.38,72.21
Albania,,2020-04-16,44.53,72.16
Albania,,2020-04-17,46.03,75.51
Albania,,2020-04-18,51.35,76.61
Albania,,2020-04-19,55.84,72.45
Albania,,2020-04-20,55.27,66.09
Algeria,,2019-12-31,37.67,61.83
Algeria,,2020-01-01,36.86,63.83
Algeria,,2020-01-02,38.4,66.57
Algeria,,2020-01-03,38.87,69.74
Algeria,,2020-01-04,41.24,70.31
Algeria,,2020-01-05,41.54,66.62
Algeria,,2020-01-06,44.24,64.54
Algeria,,2020-01-07,43.24,67.14
Algeria,,2020-01-08,41.1,65.05
Algeria,,2020-01-09,38.04,63.6
Algeria,,2020-01-10,38.04,63.63
Algeria,,2020-01-11,42.08,59.81
Algeria,,2020-01-12,38.69,63.21
Algeria,,2020-01-13,40.83,64.9
Algeria,,2020-01-14,42.31,64.3
Algeria,,2020-01-15,46.84,63.37
Algeria,,2020-01-16,43.64,68.15
Algeria,,2020-01-17,43.0,71.14
Algeria,,2020-01-18,43.43,73.17
Algeria,,2020-01-19,49.78,73.7
Algeria,,2020-01-20,54.06,76.08
Algeria,,2020-01-21,55.18,79.47
Algeria,,2020-01-22,49.53,79.01
Algeria,,2020-01-23,52.15,78.6
Algeria,,2020-01-24,53.56,77.32
Algeria,,2020-01-25,57.29,81.64
Algeria,,2020-01-26,49.81,74.26
Algeria,,2020-01-27,49.87,71.82
Algeria,,2020-01-28,44.35,71.42
Algeria,,2020-01-29,42.5,75.86
Algeria,,2020-01-30,46.82,79.08
Algeria,,2020-01-31,49.12,79.66
Algeria,,2020-02-01,51.52,76.92
Algeria,,2020-02-02,50.2,76.3
Algeria,,2020-02-03,51.39,80.74
Algeria,,2020-02-04,51.55,82.42
Algeria,,2020-02-05,50.27,73.52
Algeria,,2020-02-06,46.45,72.95
Algeria,,2020-02-07,45.5,76.26
Algeria,,2020-02-08,48.21,77.02
Algeria,,2020-02-09,52.29,81.38
Algeria,,2020-02-10,51.63,82.94
Algeria,,2020-02-11,61.99,80.39
Algeria,,2020-02-12,57.06,80.66
Algeria,,2020-02-13,56.9,81.77
Algeria,,2020-02-14,56.41,80.9
Algeria,,2020-02-15,57.39,81.47
Algeria,,2020-02-16,53.45,81.15
Algeria,,2020-02-17,52.54,77.41
Algeria,,2020-02-18,47.65,77.24
Algeria,,2020-02-19,51.63,78.8
Algeria,,2020-02-20,53.59,81.39
Algeria,,2020-02-21,55.21,79.95
Algeria,,2020-02-22,52.59,76.23
Algeria,,2020-02-23,46.75,77.3
Algeria,,2020-02-24,50.56,79.24
Algeria,,2020-02-25,49.23,81.7
Algeria,,2020-02-26,49.76,81.4
Algeria,,2020-02-27,51.89,83.11
Algeria,,2020-02-28,52.66,85.23
Algeria,,2020-02-29,54.84,87.55
Algeria,,2020-03-01,57.0,87.62
Algeria,,2020-03-02,58.55,84.76
Algeria,,2020-03-03,55.01,85.54
Algeria,,2020-03-04,55.68,88.28
Algeria,,2020-03-05,60.54,91.74
Algeria,,2020-03-06,58.84,76.68
Algeria,,2020-03-07,48.41,72.59
Algeria,,2020-03-08,44.12,74.33
Algeria,,2020-03-09,46.35,77.37
